ATC;Anbefaling
M01AG;Overvej seponering af NSAID ved samtidig behandling med andre lægemidler, som øger blødningsrisikoen (fx trombocythæmmere, systemisk glukokortikoid eller SSRI). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BA01;Overvej seponering af NSAID ved samtidig behandling med andre lægemidler, som øger blødningsrisikoen (fx trombocythæmmere, systemisk glukokortikoid eller SSRI). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BA51;Overvej seponering af NSAID ved samtidig behandling med andre lægemidler, som øger blødningsrisikoen (fx trombocythæmmere, systemisk glukokortikoid eller SSRI). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02AJ07;Overvej seponering af NSAID ved samtidig behandling med andre lægemidler, som øger blødningsrisikoen (fx trombocythæmmere, systemisk glukokortikoid eller SSRI). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BE51;Overvej seponering af NSAID ved samtidig behandling med andre lægemidler, som øger blødningsrisikoen (fx trombocythæmmere, systemisk glukokortikoid eller SSRI). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AG;Overvej seponering af NSAID ved samtidig behandling med diuretika og ACE-hæmmere/AT-II-antagonister pga. risiko for nyresvigt (triple whammy). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AE;Overvej seponering af NSAID ved samtidig behandling med diuretika og ACE-hæmmere/AT-II-antagonister pga. risiko for nyresvigt (triple whammy). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AC;Overvej seponering af NSAID ved samtidig behandling med diuretika og ACE-hæmmere/AT-II-antagonister pga. risiko for nyresvigt (triple whammy). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AB;Overvej seponering af NSAID ved samtidig behandling med diuretika og ACE-hæmmere/AT-II-antagonister pga. risiko for nyresvigt (triple whammy). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AX01;Overvej seponering af NSAID ved samtidig behandling med diuretika og ACE-hæmmere/AT-II-antagonister pga. risiko for nyresvigt (triple whammy). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AH;Overvej seponering af NSAID ved samtidig behandling med diuretika og ACE-hæmmere/AT-II-antagonister pga. risiko for nyresvigt (triple whammy). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BA01;Overvej seponering af NSAID ved samtidig behandling med diuretika og ACE-hæmmere/AT-II-antagonister pga. risiko for nyresvigt (triple whammy). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BA51;Overvej seponering af NSAID ved samtidig behandling med diuretika og ACE-hæmmere/AT-II-antagonister pga. risiko for nyresvigt (triple whammy). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02AJ07;Overvej seponering af NSAID ved samtidig behandling med diuretika og ACE-hæmmere/AT-II-antagonister pga. risiko for nyresvigt (triple whammy). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BE51;Overvej seponering af NSAID ved samtidig behandling med diuretika og ACE-hæmmere/AT-II-antagonister pga. risiko for nyresvigt (triple whammy). HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AG;Overvej seponering af NSAID ved ældre eller skrøbelige patienter. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AE;Overvej seponering af NSAID ved ældre eller skrøbelige patienter. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AC;Overvej seponering af NSAID ved ældre eller skrøbelige patienter. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AB;Overvej seponering af NSAID ved ældre eller skrøbelige patienter. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AX01;Overvej seponering af NSAID ved ældre eller skrøbelige patienter. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M01AH;Overvej seponering af NSAID ved ældre eller skrøbelige patienter. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BA01;Overvej seponering af NSAID ved ældre eller skrøbelige patienter. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BA51;Overvej seponering af NSAID ved ældre eller skrøbelige patienter. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02AJ07;Overvej seponering af NSAID ved ældre eller skrøbelige patienter. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
N02BE51;Overvej seponering af NSAID ved ældre eller skrøbelige patienter. HVORFOR: Generelt anbefales brug af lavest mulig dosis med kortest mulige varighed. HVORDAN: Kan seponeres uden aftrapning.
M03BX;Seponér muskelafslappende lægemidler ved akut, uspecifikt lændehold. HVORFOR: Midlerne har ringe effekt og mange CNS-relaterede bivirkninger (fx svimmelhed og træthed). HVORDAN: Chlorzoxazon kan seponeres uden aftrapning. Baklofen og tizanidin bør aftrappes over 1-2 uger.
M03BB;Seponér muskelafslappende lægemidler ved akut, uspecifikt lændehold. HVORFOR: Midlerne har ringe effekt og mange CNS-relaterede bivirkninger (fx svimmelhed og træthed). HVORDAN: Chlorzoxazon kan seponeres uden aftrapning. Baklofen og tizanidin bør aftrappes over 1-2 uger.
M03BX;Overvej seponering af muskelafslappende lægemidler ved øvrige tilstande. HVORFOR: Midlerne har ringe effekt og mange CNS-relaterede bivirkninger (fx svimmelhed og træthed). HVORDAN: Chlorzoxazon kan seponeres uden aftrapning. Baklofen og tizanidin bør aftrappes over 1-2 uger.
M03BB;Overvej seponering af muskelafslappende lægemidler ved øvrige tilstande. HVORFOR: Midlerne har ringe effekt og mange CNS-relaterede bivirkninger (fx svimmelhed og træthed). HVORDAN: Chlorzoxazon kan seponeres uden aftrapning. Baklofen og tizanidin bør aftrappes over 1-2 uger.
M05BA;Seponér bifosfonater (orale) 6-12 måneder efter ophør af systemisk glukokortikoidbehandling, hvis T-score er > -2,5, og patienten ikke har haft lavenergifraktur. HVORDAN: Kan seponeres uden aftrapning. Overvej at kontrollere BMD (knoglevævets mineraltæthed) 2 år efter behandlingsophør.
M05BB;Seponér bifosfonater (orale) 6-12 måneder efter ophør af systemisk glukokortikoidbehandling, hvis T-score er > -2,5, og patienten ikke har haft lavenergifraktur. HVORDAN: Kan seponeres uden aftrapning. Overvej at kontrollere BMD (knoglevævets mineraltæthed) 2 år efter behandlingsophør.
M05BA;Overvej seponering af bifosfonater (orale) efter minimum 5 år ved knogleskørhed, hvis patienten aldrig har haft lavenergifraktur i columna eller hofte, og T-score (i hoften) efter behandlingen er > -2,5, og der ikke har været øvrige lavenergifrakturer i perioden. HVORDAN: Kan seponeres uden aftrapning. Overvej at kontrollere BMD (knoglevævets mineraltæthed) 2 år efter behandlingsophør.
M05BB;Overvej seponering af bifosfonater (orale) efter minimum 5 år ved knogleskørhed, hvis patienten aldrig har haft lavenergifraktur i columna eller hofte, og T-score (i hoften) efter behandlingen er > -2,5, og der ikke har været øvrige lavenergifrakturer i perioden. HVORDAN: Kan seponeres uden aftrapning. Overvej at kontrollere BMD (knoglevævets mineraltæthed) 2 år efter behandlingsophør.
M05BA;Overvej seponering af bifosfonater (orale) ved kort forventet restlevetid og/eller svær skrøbelighed. HVORDAN: Kan seponeres uden aftrapning. Overvej at kontrollere BMD (knoglevævets mineraltæthed) 2 år efter behandlingsophør.
M05BB;Overvej seponering af bifosfonater (orale) ved kort forventet restlevetid og/eller svær skrøbelighed. HVORDAN: Kan seponeres uden aftrapning. Overvej at kontrollere BMD (knoglevævets mineraltæthed) 2 år efter behandlingsophør.
N02AA;Seponer fast dosering af hurtigtvirkende opioider (inkl. kodein og tramadol). Anvend i stedet depotmorfin (bedre døgndækning, mindre euforiserende effekt). Ca. 10 % af befolkningen kan ikke omdanne kodein til morfin (25 mg kodein â‰ˆ 2,5 mg morfin) eller tramadol til den aktive metabolit (50 mg tramadol â‰ˆ 10 mg morfin). HVORDAN: Seponér ved aftrapning efter en individuel plan. Efter kortvarig behandling (mindre end 6 uger): Reducér døgndosis med 10-20 % hver 3.-5. dag. Efter langvarig behandling: Reducér døgndosis med 5-20 % med ca. 2 ugers mellemrum. Giv ikke oralt opioid inden for ca. 18 timer efter fjernelse af fentanyl-plastre og ca. 24 timer efter buprenorphin-plastre. Klip ikke depotplastre over. Begræns dosis til max 100 mg morfinækvivalenter per døgn. Juster laksantia ved seponering eller reduktion af dosis.
N07BC02;Seponer fast dosering af hurtigtvirkende opioider (inkl. kodein og tramadol). Anvend i stedet depotmorfin (bedre døgndækning, mindre euforiserende effekt). Ca. 10 % af befolkningen kan ikke omdanne kodein til morfin (25 mg kodein â‰ˆ 2,5 mg morfin) eller tramadol til den aktive metabolit (50 mg tramadol â‰ˆ 10 mg morfin). HVORDAN: Seponér ved aftrapning efter en individuel plan. Efter kortvarig behandling (mindre end 6 uger): Reducér døgndosis med 10-20 % hver 3.-5. dag. Efter langvarig behandling: Reducér døgndosis med 5-20 % med ca. 2 ugers mellemrum. Giv ikke oralt opioid inden for ca. 18 timer efter fjernelse af fentanyl-plastre og ca. 24 timer efter buprenorphin-plastre. Klip ikke depotplastre over. Begræns dosis til max 100 mg morfinækvivalenter per døgn. Juster laksantia ved seponering eller reduktion af dosis.
R05DA04;Seponer fast dosering af hurtigtvirkende opioider (inkl. kodein og tramadol). Anvend i stedet depotmorfin (bedre døgndækning, mindre euforiserende effekt). Ca. 10 % af befolkningen kan ikke omdanne kodein til morfin (25 mg kodein â‰ˆ 2,5 mg morfin) eller tramadol til den aktive metabolit (50 mg tramadol â‰ˆ 10 mg morfin). HVORDAN: Seponér ved aftrapning efter en individuel plan. Efter kortvarig behandling (mindre end 6 uger): Reducér døgndosis med 10-20 % hver 3.-5. dag. Efter langvarig behandling: Reducér døgndosis med 5-20 % med ca. 2 ugers mellemrum. Giv ikke oralt opioid inden for ca. 18 timer efter fjernelse af fentanyl-plastre og ca. 24 timer efter buprenorphin-plastre. Klip ikke depotplastre over. Begræns dosis til max 100 mg morfinækvivalenter per døgn. Juster laksantia ved seponering eller reduktion af dosis.
N02AX;Seponer fast dosering af hurtigtvirkende opioider (inkl. kodein og tramadol). Anvend i stedet depotmorfin (bedre døgndækning, mindre euforiserende effekt). Ca. 10 % af befolkningen kan ikke omdanne kodein til morfin (25 mg kodein â‰ˆ 2,5 mg morfin) eller tramadol til den aktive metabolit (50 mg tramadol â‰ˆ 10 mg morfin). HVORDAN: Seponér ved aftrapning efter en individuel plan. Efter kortvarig behandling (mindre end 6 uger): Reducér døgndosis med 10-20 % hver 3.-5. dag. Efter langvarig behandling: Reducér døgndosis med 5-20 % med ca. 2 ugers mellemrum. Giv ikke oralt opioid inden for ca. 18 timer efter fjernelse af fentanyl-plastre og ca. 24 timer efter buprenorphin-plastre. Klip ikke depotplastre over. Begræns dosis til max 100 mg morfinækvivalenter per døgn. Juster laksantia ved seponering eller reduktion af dosis.
N02AJ;Seponer fast dosering af hurtigtvirkende opioider (inkl. kodein og tramadol). Anvend i stedet depotmorfin (bedre døgndækning, mindre euforiserende effekt). Ca. 10 % af befolkningen kan ikke omdanne kodein til morfin (25 mg kodein â‰ˆ 2,5 mg morfin) eller tramadol til den aktive metabolit (50 mg tramadol â‰ˆ 10 mg morfin). HVORDAN: Seponér ved aftrapning efter en individuel plan. Efter kortvarig behandling (mindre end 6 uger): Reducér døgndosis med 10-20 % hver 3.-5. dag. Efter langvarig behandling: Reducér døgndosis med 5-20 % med ca. 2 ugers mellemrum. Giv ikke oralt opioid inden for ca. 18 timer efter fjernelse af fentanyl-plastre og ca. 24 timer efter buprenorphin-plastre. Klip ikke depotplastre over. Begræns dosis til max 100 mg morfinækvivalenter per døgn. Juster laksantia ved seponering eller reduktion af dosis.
N02AG;Seponer fast dosering af hurtigtvirkende opioider (inkl. kodein og tramadol). Anvend i stedet depotmorfin (bedre døgndækning, mindre euforiserende effekt). Ca. 10 % af befolkningen kan ikke omdanne kodein til morfin (25 mg kodein â‰ˆ 2,5 mg morfin) eller tramadol til den aktive metabolit (50 mg tramadol â‰ˆ 10 mg morfin). HVORDAN: Seponér ved aftrapning efter en individuel plan. Efter kortvarig behandling (mindre end 6 uger): Reducér døgndosis med 10-20 % hver 3.-5. dag. Efter langvarig behandling: Reducér døgndosis med 5-20 % med ca. 2 ugers mellemrum. Giv ikke oralt opioid inden for ca. 18 timer efter fjernelse af fentanyl-plastre og ca. 24 timer efter buprenorphin-plastre. Klip ikke depotplastre over. Begræns dosis til max 100 mg morfinækvivalenter per døgn. Juster laksantia ved seponering eller reduktion af dosis.
N02AE01;Seponer fast dosering af hurtigtvirkende opioider (inkl. kodein og tramadol). Anvend i stedet depotmorfin (bedre døgndækning, mindre euforiserende effekt). Ca. 10 % af befolkningen kan ikke omdanne kodein til morfin (25 mg kodein â‰ˆ 2,5 mg morfin) eller tramadol til den aktive metabolit (50 mg tramadol â‰ˆ 10 mg morfin). HVORDAN: Seponér ved aftrapning efter en individuel plan. Efter kortvarig behandling (mindre end 6 uger): Reducér døgndosis med 10-20 % hver 3.-5. dag. Efter langvarig behandling: Reducér døgndosis med 5-20 % med ca. 2 ugers mellemrum. Giv ikke oralt opioid inden for ca. 18 timer efter fjernelse af fentanyl-plastre og ca. 24 timer efter buprenorphin-plastre. Klip ikke depotplastre over. Begræns dosis til max 100 mg morfinækvivalenter per døgn. Juster laksantia ved seponering eller reduktion af dosis.
N02AB;Seponer fast dosering af hurtigtvirkende opioider (inkl. kodein og tramadol). Anvend i stedet depotmorfin (bedre døgndækning, mindre euforiserende effekt). Ca. 10 % af befolkningen kan ikke omdanne kodein til morfin (25 mg kodein â‰ˆ 2,5 mg morfin) eller tramadol til den aktive metabolit (50 mg tramadol â‰ˆ 10 mg morfin). HVORDAN: Seponér ved aftrapning efter en individuel plan. Efter kortvarig behandling (mindre end 6 uger): Reducér døgndosis med 10-20 % hver 3.-5. dag. Efter langvarig behandling: Reducér døgndosis med 5-20 % med ca. 2 ugers mellemrum. Giv ikke oralt opioid inden for ca. 18 timer efter fjernelse af fentanyl-plastre og ca. 24 timer efter buprenorphin-plastre. Klip ikke depotplastre over. Begræns dosis til max 100 mg morfinækvivalenter per døgn. Juster laksantia ved seponering eller reduktion af dosis.
N02AJ;Seponér smerteplastre hvis patienten kan tage tabletter (Plastre harstørre variation i biotilgængelighed og flere utilsigtede hændelser). Ca. 10 % af befolkningen kan ikke omdanne kodein til morfin (25 mg kodein â‰ˆ 2,5 mg morfin) eller tramadol til den aktive metabolit (50 mg tramadol â‰ˆ 10 mg morfin). HVORDAN: Seponér ved aftrapning efter en individuel plan. Efter kortvarig behandling (mindre end 6 uger): Reducér døgndosis med 10-20 % hver 3.-5. dag. Efter langvarig behandling: Reducér døgndosis med 5-20 % med ca. 2 ugers mellemrum. Giv ikke oralt opioid inden for ca. 18 timer efter fjernelse af fentanyl-plastre og ca. 24 timer efter buprenorphin-plastre. Klip ikke depotplastre over. Begræns dosis til max 100 mg morfinækvivalenter per døgn. Juster laksantia ved seponering eller reduktion af dosis.
N02AG;Seponér smerteplastre hvis patienten kan tage tabletter (Plastre harstørre variation i biotilgængelighed og flere utilsigtede hændelser). Ca. 10 % af befolkningen kan ikke omdanne kodein til morfin (25 mg kodein â‰ˆ 2,5 mg morfin) eller tramadol til den aktive metabolit (50 mg tramadol â‰ˆ 10 mg morfin). HVORDAN: Seponér ved aftrapning efter en individuel plan. Efter kortvarig behandling (mindre end 6 uger): Reducér døgndosis med 10-20 % hver 3.-5. dag. Efter langvarig behandling: Reducér døgndosis med 5-20 % med ca. 2 ugers mellemrum. Giv ikke oralt opioid inden for ca. 18 timer efter fjernelse af fentanyl-plastre og ca. 24 timer efter buprenorphin-plastre. Klip ikke depotplastre over. Begræns dosis til max 100 mg morfinækvivalenter per døgn. Juster laksantia ved seponering eller reduktion af dosis.
N02AE01;Seponér smerteplastre hvis patienten kan tage tabletter (Plastre harstørre variation i biotilgængelighed og flere utilsigtede hændelser). Ca. 10 % af befolkningen kan ikke omdanne kodein til morfin (25 mg kodein â‰ˆ 2,5 mg morfin) eller tramadol til den aktive metabolit (50 mg tramadol â‰ˆ 10 mg morfin). HVORDAN: Seponér ved aftrapning efter en individuel plan. Efter kortvarig behandling (mindre end 6 uger): Reducér døgndosis med 10-20 % hver 3.-5. dag. Efter langvarig behandling: Reducér døgndosis med 5-20 % med ca. 2 ugers mellemrum. Giv ikke oralt opioid inden for ca. 18 timer efter fjernelse af fentanyl-plastre og ca. 24 timer efter buprenorphin-plastre. Klip ikke depotplastre over. Begræns dosis til max 100 mg morfinækvivalenter per døgn. Juster laksantia ved seponering eller reduktion af dosis.
N02AB;Seponér smerteplastre hvis patienten kan tage tabletter (Plastre harstørre variation i biotilgængelighed og flere utilsigtede hændelser). Ca. 10 % af befolkningen kan ikke omdanne kodein til morfin (25 mg kodein â‰ˆ 2,5 mg morfin) eller tramadol til den aktive metabolit (50 mg tramadol â‰ˆ 10 mg morfin). HVORDAN: Seponér ved aftrapning efter en individuel plan. Efter kortvarig behandling (mindre end 6 uger): Reducér døgndosis med 10-20 % hver 3.-5. dag. Efter langvarig behandling: Reducér døgndosis med 5-20 % med ca. 2 ugers mellemrum. Giv ikke oralt opioid inden for ca. 18 timer efter fjernelse af fentanyl-plastre og ca. 24 timer efter buprenorphin-plastre. Klip ikke depotplastre over. Begræns dosis til max 100 mg morfinækvivalenter per døgn. Juster laksantia ved seponering eller reduktion af dosis.
N02AA;Seponér smerteplastre hvis patienten kan tage tabletter (Plastre harstørre variation i biotilgængelighed og flere utilsigtede hændelser). Ca. 10 % af befolkningen kan ikke omdanne kodein til morfin (25 mg kodein â‰ˆ 2,5 mg morfin) eller tramadol til den aktive metabolit (50 mg tramadol â‰ˆ 10 mg morfin). HVORDAN: Seponér ved aftrapning efter en individuel plan. Efter kortvarig behandling (mindre end 6 uger): Reducér døgndosis med 10-20 % hver 3.-5. dag. Efter langvarig behandling: Reducér døgndosis med 5-20 % med ca. 2 ugers mellemrum. Giv ikke oralt opioid inden for ca. 18 timer efter fjernelse af fentanyl-plastre og ca. 24 timer efter buprenorphin-plastre. Klip ikke depotplastre over. Begræns dosis til max 100 mg morfinækvivalenter per døgn. Juster laksantia ved seponering eller reduktion af dosis.
N07BC02;Seponér smerteplastre hvis patienten kan tage tabletter (Plastre harstørre variation i biotilgængelighed og flere utilsigtede hændelser). Ca. 10 % af befolkningen kan ikke omdanne kodein til morfin (25 mg kodein â‰ˆ 2,5 mg morfin) eller tramadol til den aktive metabolit (50 mg tramadol â‰ˆ 10 mg morfin). HVORDAN: Seponér ved aftrapning efter en individuel plan. Efter kortvarig behandling (mindre end 6 uger): Reducér døgndosis med 10-20 % hver 3.-5. dag. Efter langvarig behandling: Reducér døgndosis med 5-20 % med ca. 2 ugers mellemrum. Giv ikke oralt opioid inden for ca. 18 timer efter fjernelse af fentanyl-plastre og ca. 24 timer efter buprenorphin-plastre. Klip ikke depotplastre over. Begræns dosis til max 100 mg morfinækvivalenter per døgn. Juster laksantia ved seponering eller reduktion af dosis.
N02AX;Seponér smerteplastre hvis patienten kan tage tabletter (Plastre harstørre variation i biotilgængelighed og flere utilsigtede hændelser). Ca. 10 % af befolkningen kan ikke omdanne kodein til morfin (25 mg kodein â‰ˆ 2,5 mg morfin) eller tramadol til den aktive metabolit (50 mg tramadol â‰ˆ 10 mg morfin). HVORDAN: Seponér ved aftrapning efter en individuel plan. Efter kortvarig behandling (mindre end 6 uger): Reducér døgndosis med 10-20 % hver 3.-5. dag. Efter langvarig behandling: Reducér døgndosis med 5-20 % med ca. 2 ugers mellemrum. Giv ikke oralt opioid inden for ca. 18 timer efter fjernelse af fentanyl-plastre og ca. 24 timer efter buprenorphin-plastre. Klip ikke depotplastre over. Begræns dosis til max 100 mg morfinækvivalenter per døgn. Juster laksantia ved seponering eller reduktion af dosis.
N02AE01;Overvej seponering af opioider mod kroniske, non-maligne smerter pga. bivirkninger og sparsom evidens for effekt. Ca. 10 % af befolkningen kan ikke omdanne kodein til morfin (25 mg kodein â‰ˆ 2,5 mg morfin) eller tramadol til den aktive metabolit (50 mg tramadol â‰ˆ 10 mg morfin). HVORDAN: Seponér ved aftrapning efter en individuel plan. Efter kortvarig behandling (mindre end 6 uger): Reducér døgndosis med 10-20 % hver 3.-5. dag. Efter langvarig behandling: Reducér døgndosis med 5-20 % med ca. 2 ugers mellemrum. Giv ikke oralt opioid inden for ca. 18 timer efter fjernelse af fentanyl-plastre og ca. 24 timer efter buprenorphin-plastre. Klip ikke depotplastre over. Begræns dosis til max 100 mg morfinækvivalenter per døgn. Juster laksantia ved seponering eller reduktion af dosis.
N02AB;Overvej seponering af opioider mod kroniske, non-maligne smerter pga. bivirkninger og sparsom evidens for effekt. Ca. 10 % af befolkningen kan ikke omdanne kodein til morfin (25 mg kodein â‰ˆ 2,5 mg morfin) eller tramadol til den aktive metabolit (50 mg tramadol â‰ˆ 10 mg morfin). HVORDAN: Seponér ved aftrapning efter en individuel plan. Efter kortvarig behandling (mindre end 6 uger): Reducér døgndosis med 10-20 % hver 3.-5. dag. Efter langvarig behandling: Reducér døgndosis med 5-20 % med ca. 2 ugers mellemrum. Giv ikke oralt opioid inden for ca. 18 timer efter fjernelse af fentanyl-plastre og ca. 24 timer efter buprenorphin-plastre. Klip ikke depotplastre over. Begræns dosis til max 100 mg morfinækvivalenter per døgn. Juster laksantia ved seponering eller reduktion af dosis.
N02AA;Overvej seponering af opioider mod kroniske, non-maligne smerter pga. bivirkninger og sparsom evidens for effekt. Ca. 10 % af befolkningen kan ikke omdanne kodein til morfin (25 mg kodein â‰ˆ 2,5 mg morfin) eller tramadol til den aktive metabolit (50 mg tramadol â‰ˆ 10 mg morfin). HVORDAN: Seponér ved aftrapning efter en individuel plan. Efter kortvarig behandling (mindre end 6 uger): Reducér døgndosis med 10-20 % hver 3.-5. dag. Efter langvarig behandling: Reducér døgndosis med 5-20 % med ca. 2 ugers mellemrum. Giv ikke oralt opioid inden for ca. 18 timer efter fjernelse af fentanyl-plastre og ca. 24 timer efter buprenorphin-plastre. Klip ikke depotplastre over. Begræns dosis til max 100 mg morfinækvivalenter per døgn. Juster laksantia ved seponering eller reduktion af dosis.
N07BC02;Overvej seponering af opioider mod kroniske, non-maligne smerter pga. bivirkninger og sparsom evidens for effekt. Ca. 10 % af befolkningen kan ikke omdanne kodein til morfin (25 mg kodein â‰ˆ 2,5 mg morfin) eller tramadol til den aktive metabolit (50 mg tramadol â‰ˆ 10 mg morfin). HVORDAN: Seponér ved aftrapning efter en individuel plan. Efter kortvarig behandling (mindre end 6 uger): Reducér døgndosis med 10-20 % hver 3.-5. dag. Efter langvarig behandling: Reducér døgndosis med 5-20 % med ca. 2 ugers mellemrum. Giv ikke oralt opioid inden for ca. 18 timer efter fjernelse af fentanyl-plastre og ca. 24 timer efter buprenorphin-plastre. Klip ikke depotplastre over. Begræns dosis til max 100 mg morfinækvivalenter per døgn. Juster laksantia ved seponering eller reduktion af dosis.
N02AX;Overvej seponering af opioider mod kroniske, non-maligne smerter pga. bivirkninger og sparsom evidens for effekt. Ca. 10 % af befolkningen kan ikke omdanne kodein til morfin (25 mg kodein â‰ˆ 2,5 mg morfin) eller tramadol til den aktive metabolit (50 mg tramadol â‰ˆ 10 mg morfin). HVORDAN: Seponér ved aftrapning efter en individuel plan. Efter kortvarig behandling (mindre end 6 uger): Reducér døgndosis med 10-20 % hver 3.-5. dag. Efter langvarig behandling: Reducér døgndosis med 5-20 % med ca. 2 ugers mellemrum. Giv ikke oralt opioid inden for ca. 18 timer efter fjernelse af fentanyl-plastre og ca. 24 timer efter buprenorphin-plastre. Klip ikke depotplastre over. Begræns dosis til max 100 mg morfinækvivalenter per døgn. Juster laksantia ved seponering eller reduktion af dosis.
N02AJ;Overvej seponering af opioider mod kroniske, non-maligne smerter pga. bivirkninger og sparsom evidens for effekt. Ca. 10 % af befolkningen kan ikke omdanne kodein til morfin (25 mg kodein â‰ˆ 2,5 mg morfin) eller tramadol til den aktive metabolit (50 mg tramadol â‰ˆ 10 mg morfin). HVORDAN: Seponér ved aftrapning efter en individuel plan. Efter kortvarig behandling (mindre end 6 uger): Reducér døgndosis med 10-20 % hver 3.-5. dag. Efter langvarig behandling: Reducér døgndosis med 5-20 % med ca. 2 ugers mellemrum. Giv ikke oralt opioid inden for ca. 18 timer efter fjernelse af fentanyl-plastre og ca. 24 timer efter buprenorphin-plastre. Klip ikke depotplastre over. Begræns dosis til max 100 mg morfinækvivalenter per døgn. Juster laksantia ved seponering eller reduktion af dosis.
N02AG;Overvej seponering af opioider mod kroniske, non-maligne smerter pga. bivirkninger og sparsom evidens for effekt. Ca. 10 % af befolkningen kan ikke omdanne kodein til morfin (25 mg kodein â‰ˆ 2,5 mg morfin) eller tramadol til den aktive metabolit (50 mg tramadol â‰ˆ 10 mg morfin). HVORDAN: Seponér ved aftrapning efter en individuel plan. Efter kortvarig behandling (mindre end 6 uger): Reducér døgndosis med 10-20 % hver 3.-5. dag. Efter langvarig behandling: Reducér døgndosis med 5-20 % med ca. 2 ugers mellemrum. Giv ikke oralt opioid inden for ca. 18 timer efter fjernelse af fentanyl-plastre og ca. 24 timer efter buprenorphin-plastre. Klip ikke depotplastre over. Begræns dosis til max 100 mg morfinækvivalenter per døgn. Juster laksantia ved seponering eller reduktion af dosis.
N02BE;Overvej seponering af paracetamol ved langtidsbehandling. HVORFOR: Effekten af langtidsbehandling (over 6 uger) er usikker, men nogle kan have gavn af behandlingen. HVORDAN: Kan seponeres uden aftrapning eller ved hjælp af en tidsbegrænset pn-ordination.
N02BF;Seponer gabapentinoider  inden for 4 ugers behandling af akut belastningsreaktion eller tilpasningsreaktion med angst- og urosymptomer. HVORFOR: Der er risiko for bivirkninger (fx afhængighed, svimmelhed og kognitiv svækkelse). HVORDAN: Efter kortvarig behandling (almindeligvis 1-2 uger og højst 4 uger) seponeres ved aftrapning over få dage. Efter langvarig behandling aftrappes dosis langsomt (uger til måneder). Ved seponeringssymptomer aftrappes langsommere, især sidst i forløbet.
N02BF;Overvej seponering af gabapentionider ved langvarig smertebehandling. HVORFOR: Der er risiko for bivirkninger (fx afhængighed, svimmelhed og kognitiv svækkelse). HVORDAN: Efter kortvarig behandling (almindeligvis 1-2 uger og højst 4 uger) seponeres ved aftrapning over få dage. Efter langvarig behandling aftrappes dosis langsomt (uger til måneder). Ved seponeringssymptomer aftrappes langsommere, især sidst i forløbet
